Time,X,Y,Z,Viewazimuth,ViewElevation
29.48727,-14.42844,2.15,-5.447976,70.45483,13.81586
29.59148,-14.09829,2.15,-5.394213,87.09542,19.81264
29.74462,-13.95721,2.15,-5.391956,130.7128,36.65709
29.85054,-14.01791,2.15,-5.336736,133.2281,37.02444
29.95429,-14.18904,2.15,-5.175873,133.2281,37.02444
30.05608,-14.46036,2.15,-4.920836,133.2281,37.02444
30.16678,-14.88885,2.799078,-4.600786,133.2281,37.02444
30.26795,-15.34336,2.786796,-4.493837,133.2281,37.02444
30.36885,-15.69656,2.699239,-4.675468,133.2281,37.02444
30.47336,-15.9449,2.502907,-5.146286,133.2281,37.02444
30.57351,-16.10749,2.223082,-5.516581,133.2281,37.02444
30.67659,-16.30558,2.15,-5.599846,133.2281,37.02444
30.78185,-16.50463,2.15,-5.842663,133.2281,37.02444
30.88825,-16.54143,2.15,-6.247253,127.2271,32.14999
30.99005,-16.44525,2.15,-6.604345,127.2271,31.00258
31.09229,-16.03556,2.460435,-6.88184,111.2193,29.97224
31.19249,-15.60867,2.798358,-6.949778,95.77054,29.18858
31.29813,-15.33351,3.022519,-6.875527,91.86106,29.18858
31.39873,-15.22889,3.094532,-6.875527,91.86106,29.18858
31.53073,-15.1999,3.108302,-6.875531,91.86106,29.18858
31.63121,-14.94908,3.308657,-6.883681,91.86106,29.18858
31.73657,-14.56686,3.636778,-6.896101,91.86106,29.18858
31.83823,-14.1793,3.916747,-6.901364,88.72363,28.1025
31.94485,-13.93927,4.11279,-6.893747,87.51682,26.34272
32.04921,-13.87615,4.179416,-6.890387,86.34708,24.64992
32.15384,-13.87615,4.179416,-6.890387,86.34708,24.64992
32.25901,-13.87615,4.179416,-6.890387,86.34708,24.64992
32.3592,-13.87615,4.179416,-6.890387,86.34708,24.64992
32.45972,-13.87615,4.179416,-6.890387,86.07155,21.02037
32.56659,-13.87615,4.179416,-6.890387,86.07154,19.38254
32.67336,-13.87615,4.179416,-6.890387,86.07155,16.9117
32.77446,-13.87615,4.179416,-6.890387,86.07155,16.9117
32.87823,-13.87615,4.179416,-6.890387,86.07155,16.9117
32.98106,-13.87615,4.179416,-6.890387,86.07155,16.9117
33.08782,-13.87615,4.179416,-6.890387,86.07155,16.9117
33.1917,-13.87615,4.179416,-6.890387,85.83786,15.27591
33.29479,-13.87615,4.179416,-6.890387,90.81319,347.8022
33.39608,-13.87615,4.179416,-6.890387,104.5621,311.6482
33.5242,-13.87615,4.179416,-6.890387,115.3898,277.0596
33.62854,-13.87615,4.179416,-6.890387,122.862,270
33.73005,-13.87615,4.179416,-6.890387,129.8878,271.9719
33.83215,-13.87615,4.179416,-6.890387,130.84,277.0497
33.93522,-13.87615,4.179416,-6.890387,130.84,278.5151
34.03613,-13.87615,4.179416,-6.890387,130.84,278.5151
34.13755,-13.87615,4.179416,-6.890387,130.84,278.5151
34.23929,-13.87615,4.179416,-6.890387,130.84,278.5151
